registros;natureza;municipio;cod_municipio;mes;ano;risp;rmbh
0;ESTUPRO CONSUMADO;CONCEICAO DO RIO VERDE;311770;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CONCEICAO DOS OUROS;311780;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CONEGO MARINHO;311783;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;CONFINS;311787;1;2026;RISP 3 - VESPASIANO;SIM
0;ESTUPRO CONSUMADO;CONGONHAL;311790;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CONGONHAS;311800;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CONGONHAS DO NORTE;311810;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;CONQUISTA;311820;1;2026;RISP 5 - UBERABA;NÃO
0;ESTUPRO CONSUMADO;CONSELHEIRO LAFAIETE;311830;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CONSELHEIRO PENA;311840;1;2026;RISP 8 - GOV. VALADARES;NÃO
0;ESTUPRO CONSUMADO;CONSOLACAO;311850;1;2026;RISP 17 - POUSO ALEGRE;NÃO
9;ESTUPRO CONSUMADO;CONTAGEM;311860;1;2026;RISP 2 - CONTAGEM;SIM
0;ESTUPRO CONSUMADO;COQUEIRAL;311870;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CORACAO DE JESUS;311880;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;CORDISBURGO;311890;1;2026;RISP 19 - SETE LAGOAS;NÃO
0;ESTUPRO CONSUMADO;CORDISLANDIA;311900;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CORINTO;311910;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;COROACI;311920;1;2026;RISP 8 - GOV. VALADARES;NÃO
0;ESTUPRO CONSUMADO;COROMANDEL;311930;1;2026;RISP 10 - PATOS DE MINAS;NÃO
0;ESTUPRO CONSUMADO;CORONEL FABRICIANO;311940;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;CORONEL MURTA;311950;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;CORONEL PACHECO;311960;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;CORONEL XAVIER CHAVES;311970;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CORREGO DANTA;311980;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
0;ESTUPRO CONSUMADO;CORREGO DO BOM JESUS;311990;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CORREGO FUNDO;311995;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
0;ESTUPRO CONSUMADO;CORREGO NOVO;312000;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;COUTO DE MAG.DE MINAS;312010;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;CRISOLITA;312015;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;CRISTAIS;312020;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CRISTALIA;312030;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;CRISTIANO OTONI;312040;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CRISTINA;312050;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CRUCILANDIA;312060;1;2026;RISP 2 - CONTAGEM;NÃO
0;ESTUPRO CONSUMADO;CRUZEIRO DA FORTALEZA;312070;1;2026;RISP 10 - PATOS DE MINAS;NÃO
